,name,categories,lat,lng,id,NumPunto,Estrato,CRat,Rat,CFot,COpi
1460,Popsy Helado Gourmet,Ice Cream Shop,4.647044658660889,-74.10181427001953,4ec139930aaf6450bb4ebcc6,4257,5,8.0,7.3,8.0,2.0
1461,Creppes & Waffles Gran Estacion,Ice Cream Shop,4.646810671902816,-74.1013332353478,51c22b3c498ed547cb2a3844,4257,5,12.0,7.3,3.0,0.0
1462,Sony Store,Electronics Store,4.6475519579685525,-74.10127824863625,4d4f225edeabf04d2f8dc924,4257,4,32.0,7.2,23.0,7.0
1463,La Bonga del Sinú Express,Burger Joint,4.647406216833924,-74.10095909372626,50401b68e4b0364d8480885e,4257,4,39.0,7.2,9.0,15.0
1464,Dunkin',Donut Shop,4.647422443147453,-74.10193370935019,4e287126b0fba988bb6c073e,4257,4,16.0,7.2,11.0,7.0
1465,Subway,Sandwich Place,4.647417818983426,-74.10100103569262,4c0beab3340720a18fd48893,4257,4,18.0,7.1,17.0,8.0
1466,Hamburguesas El Corral,Burger Joint,4.647423015526495,-74.10114048978379,4d4f1f0d23a76dcbc76867dc,4257,4,64.0,7.1,50.0,11.0
1467,Studio F,Women's Store,4.647392264704054,-74.10166589830915,4e83a4487ee6f75ca2c84f78,4257,4,9.0,7.0,4.0,1.0
1468,Papa John's,Pizza Place,4.646965172336244,-74.10138288387991,55ea3a4c498ea5baac08216a,4257,5,16.0,7.0,11.0,3.0
1469,Arturo Calle,Men's Store,4.647032175274791,-74.10171347739744,4d12474f957fa1cd17cb6c9f,4257,5,25.0,6.9,20.0,6.0
1470,Pepe Ganga,Toy / Game Store,4.647006245348469,-74.1017239773296,4ce82396e888f04d5986406b,4257,5,19.0,6.8,16.0,5.0
1471,Sr. Wok,Asian Restaurant,4.64741611905158,-74.10092148109013,4f034fe5c5126f14baba4326,4257,4,32.0,6.7,16.0,10.0
1472,Myriam Camhi,Café,4.647231064505025,-74.10149215261677,4bf082d33a15d13aa4aa3e9f,4257,5,12.0,6.6,26.0,7.0
1473,Archie´s,Italian Restaurant,4.647103648367235,-74.1012830140878,4cbb5eb34352a1cd767498f5,4257,5,220.0,6.6,183.0,48.0
1474,KFC,Fried Chicken Joint,4.647309,-74.10123399999998,5a11df7258aa7f183c28d11b,4257,4,0.0,6.6,0.0,0.0
1475,Johnny Rockets,Burger Joint,4.6470368773430595,-74.10148047107289,56a906fa498e14914d3f1734,4257,5,30.0,6.4,33.0,7.0
1476,Mc Cafe,Café,4.647277339849102,-74.10182649401081,4ce823f9b997548128b5fa44,4257,5,9.0,6.4,9.0,5.0
1477,Tan sang,Chinese Restaurant,4.6472746808041245,-74.1012758796053,4fd659b6e4b0f4325dcfd567,4257,5,8.0,6.3,6.0,5.0
1478,Jeno's Pizza,Pizza Place,4.6470450841083135,-74.10176143637291,4d4f196023a76dcb263367dc,4257,5,28.0,6.5,23.0,7.0
1479,Paneroli Gran Estación,Bakery,4.6471380059793725,-74.10152051927443,4d39d3c934ee370422f9709b,4257,5,18.0,6.0,18.0,9.0
1480,Entertainment Store,Music Venue,4.646982311374999,-74.10169457612307,4dfe2b8ad4c01dccaebd124a,4257,5,9.0,6.0,6.0,2.0
1481,Mc Café - CC Gran Estación.,Breakfast Spot,4.647253116855065,-74.10182075845239,510dac4ae4b05ed0e51e5135,4257,5,9.0,5.9,6.0,1.0
1482,Casino Golden Station,Casino,4.6469480827899945,-74.10168884056064,4e62ea5345ddda3529cc2474,4257,5,8.0,5.8,6.0,1.0
1483,La Ponderosa,Restaurant,4.6472483287299715,-74.1015044482294,4eece98e9911d70cb733c9c1,4257,5,37.0,5.8,23.0,15.0
1484,Kokoriko,Fried Chicken Joint,4.647055766477936,-74.10137271519373,4e76944bd1643f93b2716714,4257,5,30.0,5.7,18.0,7.0
1485,Subway,Sandwich Place,4.6456798732879925,-74.10027215127896,50f5eefbe4b023d2ef390cce,4258,5,5.0,7.2,2.0,0.0
1486,Juan Valdez Cafè,Coffee Shop,4.6456318192582415,-74.10027393730162,5092c63ee4b083652fa524aa,4258,4,77.0,7.1,23.0,7.0
1487,Ciclovía Av. El Dorado,Athletics & Sports,4.6472189750496735,-74.09949599865142,509fbc10e4b064bf6d4f701d,4258,5,8.0,6.9,13.0,1.0
1488,Juan Valdez Café,Coffee Shop,4.645648625522903,-74.10024598255427,5092c74de4b0c953ec434cb0,4258,4,6.0,6.8,7.0,3.0
1489,Oishii Desu,Japanese Restaurant,4.645672289559392,-74.10023268482797,51e6ddcf498e27b7cd59c38e,4258,5,10.0,6.3,2.0,8.0
1490,Hamburguesas El Corral,Burger Joint,4.647427763706619,-74.09351756557321,4fca89b7e4b063c029ac8ba2,4261,4,45.0,8.0,24.0,7.0
1491,Pescadero La Subienda,Seafood Restaurant,4.646799360054965,-74.09295568497478,4ede64755c5c96a202f38ccc,4261,4,45.0,7.4,11.0,14.0
1492,Subway,Sandwich Place,4.646299893182078,-74.09288299576687,525858a3498e740b56bcfe93,4261,4,28.0,6.8,6.0,5.0
1493,Platos Arepas y Carnes,Arepa Restaurant,4.647267681503203,-74.0932796806003,4cf7eb5864e3721e7b4229c8,4261,4,SC,NR,2.0,2.0
1494,Wok Y Parrilla,Steakhouse,4.64714697149948,-74.09163413070094,4ea6fcc29a524accd1cc5384,4262,4,SC,NR,0.0,1.0
1495,Picos Caffé Pablo VI,Ice Cream Shop,4.646919570654768,-74.08833176292262,4e640e64b61cd7808942dd86,4264,4,13.0,7.4,3.0,7.0
1496,Aki-kiriki Esmeralda,Fried Chicken Joint,4.6468901853623334,-74.0883027618435,4d9113c1f5388cfa4ef6ac3d,4264,4,SC,NR,2.0,1.0
1497,Montserrat,Bakery,4.646890743163066,-74.0883104158436,4e301c13483b93c2f2e5d9c0,4264,4,SC,NR,9.0,0.0
1498,Parque Público Urbanización Federman,Park,4.6461876814554435,-74.0846474859167,50fc6204e4b09003b39ac9fb,4265,5,14.0,6.5,1.0,1.0
1499,Cupcakers Inc,Cupcake Shop,4.647250864666568,-74.08498040509191,51f05bd0498e4991fb2b7f84,4265,5,SC,NR,3.0,0.0
1500,Emisora Vibra Bogota,Music Venue,4.64645914759364,-74.08220077989728,5196859ee4b0d3bbd859c8f4,4267,5,8.0,7.9,13.0,1.0
